lesson_id,lesson_name,lesson_url,keyword
TH10_CD1_L1,Thông tin và xử lí thông tin,Url bai hoc,Thông tin; Dữ liệu; Xử lí thông tin; Máy tính; Thiết bị số; Lưu trữ dữ liệu; Truyền thông tin; Tin học; Byte; Đơn vị lưu trữ; Tốc độ xử lí; Độ chính xác; Internet; Phân biệt dữ liệu; Dung lượng lưu trữ
TH10_CD1_L2,Vai trò của thiết bị thông minh và tin học đối với xã hội,Url bai hoc,Thiết bị thông minh; Tin học; Cách mạng công nghiệp 4.0; Trí tuệ nhân tạo; Internet vạn vật; Công nghệ thông tin; Nền kinh tế tri thức; Điện toán đám mây; Dữ liệu lớn; Mạng máy tính; Internet; Phần mềm; Tự động hoá; Hệ điều hành; Ngôn ngữ lập trình
TH10_CD1_L3,Một số kiểu dữ liệu và dữ liệu văn bản,Url bai hoc,Kiểu dữ liệu; Dữ liệu văn bản; Biểu diễn thông tin; Mã hoá thông tin; Dữ liệu nhị phân; Bảng mã ASCII; Bảng mã Unicode; Kí tự tiếng Việt; Số hoá văn bản; UTF-8; Phần mềm soạn thảo văn bản; Nhận dạng tiếng nói; Bảng kí tự; Phân loại thông tin; Bộ mã kí tự
TH10_CD1_L4,Hệ nhị phân và dữ liệu số nguyên,Url bai hoc,Hệ nhị phân; Dữ liệu số nguyên; Biểu diễn số nguyên; Máy tính; Hệ thập phân; Dãy bit; Chuyển đổi cơ số; Số nguyên không dấu; Số nguyên có dấu; Mã bù 2; Bit; Byte; Phép cộng nhị phân; Phép nhân nhị phân; Dấu phẩy tĩnh
TH10_CD1_L5,Dữ liệu logic,Url bai hoc,Dữ liệu lôgic; Giá trị chân lí; Phép toán lôgic; AND; OR; XOR; NOT; Đại số lôgic; Mệnh đề; Đại lượng lôgic; Biểu diễn dữ liệu lôgic; Bit; Ngôn ngữ lập trình; Mạch điện; Biểu thức lôgic
TH10_CD1_L6,Dữ liệu âm thanh và hình ảnh,Url bai hoc,Số hoá âm thanh; Số hoá hình ảnh; Đa phương tiện; Âm thanh số; Sóng âm; Tín hiệu tương tự; Lấy mẫu; Chu kì lấy mẫu; Tốc độ bit; Nén dữ liệu; Hệ màu RGB; Điểm ảnh; Độ sâu màu; Định dạng âm thanh; Định dạng ảnh
TH10_CD1_L7,Thực hành sử dụng thiết bị số thông dụng,Url bai hoc,Thiết bị số cá nhân; Điện thoại thông minh; Máy tính bảng; Trợ thủ số cá nhân; Ứng dụng di động; Hệ điều hành; Kết nối Wifi; Bluetooth; Màn hình cảm ứng; Quản lí tệp; Lưu trữ đám mây; Học tập trực tuyến; Chụp ảnh; Sao chép tệp; Dữ liệu
TH10_CD2_L8,Mạng máy tính trong cuộc sống hiện đại,Url bai hoc,Mạng máy tính; Internet; Mạng LAN; Điện toán đám mây; Kết nối vạn vật; Bộ định tuyến; Dịch vụ đám mây; SaaS; PaaS; IaaS; Thiết bị thông minh; Máy chủ; Dữ liệu; Nhà thông minh; Học tập trực tuyến
TH10_CD2_L9,An toàn trên không gian mạng,Url bai hoc,An toàn không gian mạng; Nguy cơ mạng; Bảo vệ dữ liệu cá nhân; Phần mềm độc hại; Virus máy tính; Worm; Trojan; Lừa đảo trực tuyến; Lộ thông tin cá nhân; Bắt nạt qua mạng; Phòng chống mã độc; Windows Defender; Mật khẩu; Mạng xã hội; Tấn công từ chối dịch vụ
TH10_CD3_L11,Ứng xử trên môi trường số – Nghĩa vụ tôn trọng bản quyền,Url bai hoc,Ứng xử trên môi trường số; Bản quyền; Quyền tác giả; Vi phạm pháp luật; Vi phạm đạo đức; Không gian mạng; Thông tin trên mạng; Sản phẩm số; Luật An ninh mạng; Nghị định 15/2020/NĐ-CP; Bắt nạt qua mạng; Lừa đảo qua mạng; Thư rác; Phần mềm; Tôn trọng bản quyền
TH10_CD4_L12,Phần mềm thiết kế đồ hoạ,Url bai hoc,Thiết kế đồ hoạ; Đồ hoạ vectơ; Đồ hoạ điểm ảnh; Inkscape; Adobe Photoshop; Logo; Hình ảnh; Pixel; Phần mềm miễn phí; Giao diện Inkscape; Hộp công cụ; Đối tượng đồ hoạ; Thứ tự lớp; Bảng màu; Định dạng SVG
TH10_CD4_L13,Bổ sung các đối tượng đồ hoạ,Url bai hoc,Đối tượng đồ hoạ; Inkscape; Hình khối; Thuộc tính đối tượng; Màu tô; Màu vẽ; Fill and Stroke; Màu chuyển; Phép ghép đối tượng; Phép hợp; Phép hiệu; Phép giao; Đường nét; Opacity; Gradient Tool
TH10_CD4_L14,Làm việc với đối tượng đường và văn bản,Url bai hoc,Đối tượng đường; Văn bản; Inkscape; Điểm neo; Đường cong; Chỉnh sửa hình; Định dạng văn bản; Công cụ Pen; Công cụ Tinh chỉnh điểm; Phông chữ; Tô màu; Hình khối; Thuộc tính; Đường chỉ hướng; Neo trơn
TH10_CD5_L16,Ngôn ngữ lập trình bậc cao và Python,Url bai hoc,Ngôn ngữ lập trình bậc cao; Python; Môi trường lập trình Python; Chế độ gõ lệnh trực tiếp; Chế độ soạn thảo chương trình; Chương trình Python; Cú pháp Python; Lệnh print Python; Kiểu dữ liệu Python; Phép toán Python; Trí tuệ nhân tạo; Phân tích dữ liệu; Kĩ thuật robot; Gỡ lỗi Python; Thực hiện chương trình Python
TH10_CD5_L17,Biến và lệnh gán,Url bai hoc,Biến; Lệnh gán; Từ khoá; Python; Kiểu dữ liệu; Phép toán; Số nguyên; Số thực; Xâu kí tự; Ngôn ngữ lập trình; Cú pháp; Biểu thức; Đặt tên biến; Giá trị; Vùng nhớ
TH10_CD5_L18,Các lệnh vào ra đơn giản,Url bai hoc,Lệnh vào ra; Python; Lệnh input; Lệnh print; Kiểu dữ liệu; Chuyển đổi kiểu dữ liệu; Số nguyên; Số thực; Xâu kí tự; Kiểu lôgic; Lệnh type; Nhập dữ liệu; Xuất dữ liệu; Bàn phím; Chương trình
TH10_CD5_L19,Câu lệnh rẽ nhánh if,Url bai hoc,Câu lệnh rẽ nhánh IF; Kiểu dữ liệu lôgic; Biểu thức lôgic; Lập trình; Python; Phép toán lôgic; Điều kiện; Phép so sánh; Khối lệnh; Rẽ nhánh; True False; Thụt vào; Câu lệnh điều khiển; Phép toán số dư; Năm nhuận
TH10_CD5_L20,Câu lệnh lặp for,Url bai hoc,Câu lệnh lặp for; Lệnh range(); Python; Vùng giá trị; Cấu trúc lặp; Biến lặp; Khối lệnh; Số lần lặp; Ước số; Số tự nhiên; Tính tổng; Cú pháp; Ngôn ngữ lập trình; Nhập dữ liệu; Xuất dữ liệu
TH10_CD5_L21,Câu lệnh lặp while,Url bai hoc,CÂU LỆNH LẶP WHILE; cấu trúc lập trình; cấu trúc tuần tự; cấu trúc rẽ nhánh; cấu trúc lặp; Python; khối lệnh; điều kiện; vòng lặp; biến điều khiển; lặp vô hạn; lệnh break; câu lệnh rẽ nhánh if; câu lệnh lặp for; bảng mã ASCII
TH10_CD5_L22,Kiểu dữ liệu danh sách,Url bai hoc,Kiểu dữ liệu danh sách; Python; list; Khởi tạo danh sách; Truy cập phần tử; Chỉ số; Duyệt danh sách; Lệnh for; Phương thức danh sách; Thêm phần tử; Xoá phần tử; append; len; Lệnh del; range
TH10_CD5_L23,Một số lệnh làm việc với dữ liệu danh sách,Url bai hoc,Danh sách; Toán tử in; Duyệt danh sách; Phần tử; Lệnh append; Lệnh clear; Lệnh remove; Lệnh insert; Python; Giá trị; Chỉ số; Lệnh for; Lệnh while; Dãy số Fibonacci; Phương thức
TH10_CD5_L24,Xâu kí tự,Url bai hoc,Xâu kí tự; Python; Kiểu dữ liệu; Lệnh for; Chỉ số; Hàm len; Duyệt xâu; Danh sách; Xâu con; Toán tử in; Truy cập kí tự; Độ dài xâu; Biến; Unicode; Chương trình
TH10_CD5_L25,Một số lệnh làm việc với xâu kí tự,Url bai hoc,xâu kí tự; xâu con; lệnh; find(); split(); join(); toán từ in; Python; danh sách; vị trí; tách xâu; nối xâu; xử lí xâu; bài toán; họ tên
TH10_CD5_L26,Hàm trong Python,Url bai hoc,Hàm trong Python; Chương trình con; Tạo hàm; Hàm thiết kế sẵn; Hàm tự định nghĩa; Tham số hàm; Giá trị trả lại; Lệnh return; Từ khoá def; Cú pháp hàm; Khối lệnh; Lệnh gọi hàm; Thụt vào; Kiểu dữ liệu; Biến
TH10_CD5_L27,Tham số của hàm,Url bai hoc,Tham số của hàm; Đối số của hàm; Chương trình con; Định nghĩa hàm; Gọi hàm; Truyền giá trị; Số nguyên tố; Tính tổng; Xâu kí tự; Danh sách; Kiểm tra số nguyên tố; Cấu trúc chương trình; Biến; Ước chung lớn nhất; Lệnh split
TH10_CD5_L28,Phạm vi của biến,Url bai hoc,Phạm vi của biến; Biến; Hàm; Python; Chương trình chính; Khai báo biến; Biến cục bộ; Biến toàn cục; Từ khoá global; Danh sách; Xâu kí tự; Tham số; Giá trị trả về; UCLN; BCNN
TH10_CD5_L29,Nhận biết lỗi chương trình,Url bai hoc,Lỗi chương trình; Lỗi ngoại lệ; Lỗi cú pháp; Lỗi logic; SyntaxError; ValueError; IndexError; Lỗi Runtime; Python; Kiểm soát lỗi; Xử lí lỗi; Dữ liệu đầu vào; Hàm input; Hàm int; NameError
TH10_CD5_L30,Kiểm thử và gỡ lỗi chương trình,Url bai hoc,Kiểm thử chương trình; Gỡ lỗi chương trình; Lỗi ngoại lệ; Lỗi Runtime; Bug; Phương pháp kiểm thử; Bộ dữ liệu test; Dữ liệu biên; In thông số trung gian; Break point; Thuật toán; Vòng lặp; Phát hiện lỗi; Mã lỗi; Công cụ lập trình
TH10_CD6_L33,Nghề thiết kế đồ hoạ máy tính,Url bai hoc,Thiết kế đồ họa; Hướng nghiệp; Kĩ năng thiết kế; Kiến thức chuyên môn; Phần mềm đồ họa; Thông điệp truyền thông; Sáng tạo; Nhu cầu nhân lực; Cơ hội việc làm; Công nghệ thông tin; Truyền thông số; Quảng cáo; Thiết kế web; Logo; Máy tính
TH10_CD6_L34,Nghề phát triển phần mềm,Url bai hoc,Phát triển phần mềm; Lập trình; Vòng đời phần mềm; Phân tích yêu cầu; Thiết kế phần mềm; Lập trình viên; Kiểm thử; Triển khai; Bảo trì phần mềm; Quy trình phát triển; Agile; Scrum; Tài liệu yêu cầu; Kiến trúc phần mềm; Công nghệ phần mềm; Đội phát triển; Sản phẩm phần mềm; Quản lý dự án; Công việc lập trình; Công cụ lập trình
